t,lag,fase
2,92,normal
6,782,normal
11,1543,normal
15,2309,normal
30,1909,caida
34,1909,caida
38,1909,caida
43,1909,recuperacion
48,1909,recuperacion
52,1909,recuperacion
56,1909,recuperacion
61,1785,recuperacion
65,1785,recuperacion
70,1785,recuperacion
74,1785,recuperacion
78,1785,recuperacion
83,1285,recuperacion
87,1285,recuperacion
92,1285,recuperacion
96,785,recuperacion
100,712,recuperacion
105,712,recuperacion
109,712,recuperacion
114,212,recuperacion
118,0,recuperacion
