t,lag,fase
2,108,normal
7,782,normal
11,1548,normal
15,2316,normal
30,1891,caida
34,1891,caida
39,1891,caida
43,1891,caida
48,1891,caida
52,1891,caida
57,1891,caida
61,1891,caida
65,1891,caida
70,1891,caida
74,1891,caida
79,1891,caida
83,1891,recuperacion
88,1891,recuperacion
92,1891,recuperacion
97,1891,recuperacion
101,1891,recuperacion
105,1891,recuperacion
110,1891,recuperacion
114,1627,recuperacion
119,1627,recuperacion
123,1627,recuperacion
127,1127,recuperacion
132,963,recuperacion
136,963,recuperacion
141,963,recuperacion
145,463,recuperacion
149,463,recuperacion
154,0,recuperacion
